物品	每份原材料	单位时间产能（份）	每份个数
铁块	铁矿x1	60	1
磁铁	铁矿x1	40	1
铜块	铜矿x1	60	1
石材	石矿x1	60	1
高能石墨	煤矿x2	30	1
硅石	石矿x10	6	1
晶格硅	高纯硅块x1	30	1
玻璃	石矿x2	30	1
高纯硅块	硅石x2	30	1
金刚石	高能石墨x1	30	1
金刚石	金伯利矿石x1	40	2
钢材	铁块x3	20	1
钛块	钛石x2	30	1
钛合金	钛块x4，钢材x4，硫酸x8	5	4
齿轮	铁块x1	60	1
磁线圈	磁铁x2，铜块x1	60	2
风力涡轮机	铁块x6，齿轮x1，磁线圈x3	15	1
电力感应塔	铁块x2，磁线圈x1	60	1
矩阵研究站	铁块x8，玻璃x4，电路板x4，磁线圈x4	20	1
棱镜	玻璃x3	30	2
电浆激发器	磁线圈x4，棱镜x2	30	1
无线输电塔	电力感应塔x1，电浆激发器x3	20	1
原油萃取站	钢材x12，石材x12，电路板x6，电浆激发器x4	7.5	1
原油精炼厂	钢材x10，石材x10，电路板x6，电浆激发器x6	10	1
液氢燃料棒	钛块x1，氢x10	10	2
推进器	钢材x2，铜块x3	15	1
加力推进器	钛合金x5，电磁涡轮x5	10	1
化工厂	钢材x8，石材x8，玻璃x8，电路板x2	12	1
钛晶石	有机晶体x1，钛块x3	15	1
卡西米尔晶体	钛晶石x1，石墨烯x2，氢x12	15	1
卡西米尔晶体	光栅石x8，石墨烯x2，氢x12	15	1
钛化玻璃	玻璃x2，钛块x2，水x2	12	2
粒子宽带	碳纳米管x2，晶格硅x2，塑料x1	7.5	1
位面过滤器	卡西米尔晶体x1，钛化玻璃x2	5	1
微型粒子对撞机	钛合金x20，框架材料x20，超级磁场环x25，石墨烯x10，处理器x8	4	1
氘核燃料棒	钛合金x1，重氢x20，超级磁场环x1	5	2
湮灭约束球	粒子容器x1，处理器x1	3	1
人造恒星	钛合金x20，框架材料x20，湮灭约束球x10，量子芯片x10	2	1
反物质燃料棒	反物质x12，氢x12，湮灭约束球x1，钛合金x1	2.5	2
制造台Mk.I	铁块x4，齿轮x8，电路板x4	30	1
制造台Mk.II	制造台Mk.Ix1，石墨烯x8，处理器x4	20	1
制造台Mk.III	制造台Mk.IIx1，粒子宽带x8，量子芯片x2	15	1
采矿机	铁块x4，电路板x2，磁线圈x2，齿轮x2	20	1
抽水站	铁块x8，石材x4，电动机x4，电路板x2	15	1
电路板	铁块x2，铜块x1	60	2
处理器	电路板x2，微晶元件x2	20	1
量子芯片	处理器x2，位面过滤器x2	10	1
微晶元件	高纯硅块x2，铜块x1	30	1
有机晶体	木材x20，植物燃料x30，水x10	10	1
电弧熔炉	铁块x4，石材x2，电路板x4，磁线圈x2	20	1
晶格硅	分形硅石x1	40	2
火力发电厂	铁块x10，石材x4，齿轮x4，磁线圈x4	12	1
太阳能板	铜块x10，高纯硅块x10，电路板x5	10	1
光子合并器	棱镜x2，电路板x1	20	1
光子合并器	光栅石x1，电路板x1	20	1
太阳帆	石墨烯x1，光子合并器x1	15	2
电磁轨道弹射器	钢材x20，齿轮x20，处理器x5，超级磁场环x10	10	1
射线接收站	钢材x20，高纯硅块x20，光子合并器x10，处理器x5，超级磁场环x20	7.5	1
卫星配电站	无线输电塔x1，超级磁场环x10，框架材料x2	12	1
蓄电器	铁块x6，超级磁场环x1，晶格硅x3	20	1
能量枢纽	钛合金x40，钢材x40，处理器x40，粒子容器x8	4	1
空间翘曲器	引力透镜x1	6	1
空间翘曲器	引力矩阵x1	6	8
框架材料	碳纳米管x4，钛合金x1，高纯硅块x1	10	1
戴森球组件	框架材料x3，太阳帆x3，处理器x3	7.5	1
垂直发射井	钛合金x80，框架材料x30，引力透镜x20，量子芯片x10	2	1
小型运载火箭	戴森球组件x2，氘核燃料棒x4，量子芯片x2	10	1
传送带	铁块x2，齿轮x1	60	3
分拣器	铁块x1，电路板x1	60	1
小型储物仓	铁块x4，石材x4	30	1
四向分流器	铁块x3，齿轮x2，电路板x1	30	1
高速分拣器	分拣器x2，电动机x1	60	2
高速传送带	传送带x3，电磁涡轮x1	60	3
极速分拣器	高速分拣器x2，电磁涡轮x1	60	2
大型储物仓	钢材x8，石材x8	15	1
极速传送带	高速传送带x3，超级磁场环x1，石墨烯x1	60	3
行星内物流运输站	钢材x40，钛块x40，处理器x40，粒子容器x20	3	1
物流运输机	铁块x5，处理器x2，推进器x2	15	1
星际物流运输站	行星内物流运输站x1，钛合金x40，粒子容器x20	2	1
星际物流运输船	钛合金x10，处理器x10，加力推进器x2	10	1
电动机	铁块x2，齿轮x1，磁线圈x1	30	1
电磁涡轮	电动机x2，磁线圈x2	30	1
粒子容器	电磁涡轮x2，铜块x2，石墨烯x2	15	1
粒子容器	单极磁石x10，铜块x2	15	1
引力透镜	金刚石x4，奇异物质x1	10	1
超级磁场环	电磁涡轮x2，磁铁x3，高能石墨x1	20	1
增产剂Mk.I	煤矿x1	120	1
增产剂Mk.II	增产剂Mk.Ix2，金刚石x1	60	1
增产剂Mk.III	增产剂Mk.IIx2，碳纳米管x1	30	1
喷涂机	钢材x4，电浆激发器x2，电路板x2，微晶元件x2	20	1
分馏塔	钢材x8，石材x4，玻璃x4，处理器x1	20	1
轨道采集器	星际物流运输站x1，超级磁场环x50，加力推进器x20，蓄电器（满）x20	2	1
地基	石材x3，钢材x1	60	1
微型聚变发电站	钛合金x12，超级磁场环x10，碳纳米管x8，处理器x4	6	1
储液罐	铁块x8，石材x4，玻璃x4	30	1
位面熔炉	电弧熔炉x1，框架材料x5，位面过滤器x4，单极磁石x15	12	1
流速监测器	铁块x3，齿轮x2，玻璃x1，电路板x2	30	1
地热发电站	钢材x15，铜块x20，光子合并器x4，超级磁场环x1	10	1
大型采矿机	钛合金x20，框架材料x10，超级磁场环x10，量子芯片x4，光栅石x40	3	1
自动集装机	钢材x3，齿轮x4，超级磁场环x1，处理器x2	15	1
物流配送器	铁块x8，电浆激发器x4，处理器x4	7.5	1
配送运输机	铁块x2，动力引擎x1，处理器x1	30	1
量子化工厂	化工厂x1，钛化玻璃x10，奇异物质x3，量子芯片x3	6	1
高斯机枪塔	铁块x8，齿轮x8，电路板x2，磁线圈x4	15	1
高频激光塔	钢材x9，电浆激发器x6，电路板x6，光子合并器x9	10	1
聚爆加农炮	钢材x10，电动机x8，电路板x10，超级磁场环x2	12	1
磁化电浆炮	钛合金x20，钛化玻璃x10，超级磁场环x10，电浆激发器x5，处理器x5	6	1
导弹防御塔	钢材x8，电动机x6，电路板x12，动力引擎x6	10	1
干扰塔	铜块x12，电浆激发器x9，金刚石x6，处理器x3	12	1
信号塔	无线输电塔x2，钢材x12，晶格硅x6	10	1
行星护盾发生器	钢材x20，电磁涡轮x20，超级磁场环x5，粒子容器x5	6	1
燃烧单元	煤矿x3	20	1
机枪弹箱	铜块x3	60	1
钛化弹箱	机枪弹箱x1，钛块x2	30	1
超合金弹箱	钛化弹箱x1，钛合金x1	20	1
炮弹组	铜块x9，燃烧单元x2	40	1
高爆炮弹组	炮弹组x1，钛块x6，爆破单元x2	20	1
晶石炮弹组	高爆炮弹组x1，钛合金x3，晶石爆破单元x2	10	1
等离子胶囊	石墨烯x1，磁铁x2，重氢x10	30	1
反物质胶囊	等离子胶囊x1，粒子容器x1，氢x10，反物质x10	30	1
导弹组	铜块x6，电路板x3，燃烧单元x2，动力引擎x1	30	1
超音速导弹组	导弹组x2，处理器x4，爆破单元x4，推进器x2	15	2
引力导弹组	超音速导弹组x3，晶石爆破单元x6，奇异物质x3	10	3
原型机	铁块x3，动力引擎x1，电路板x2，电浆激发器x1	30	1
精准无人机	原型机x1，电磁涡轮x1，电路板x2，光子合并器x2	15	1
攻击无人机	原型机x1，电磁涡轮x1，处理器x1，粒子容器x1	15	1
护卫舰	钛合金x5，加力推进器x1，处理器x2，粒子容器x3	12	1
驱逐舰	框架材料x20，加力推进器x4，处理器x4，奇异物质x1	7.5	1
